ADD_FULL,POSTAL_CD,X,Y,LONGITUDE,LATITUDE,OBJECTID,FACI_NAM,FACI_TYPE,UNIT,UNIT_TYPE,DEV_LOC,DEV_COUNT
1 Dundas St E,,314428.062,4834923.751,-79.38044178,43.65620203,4,Yonge Dundas Square,Office,,,Security Booth,1
1 Yorkdale Rd,M6A 3A1,308885.641,4842580.953,-79.44909743,43.72517783,6,Go Transit - Yorkdale Station,Transportation Facility,,,main common area,1
1 Faustina Dr,M8V 3L9,302999.547,4828800.532,-79.52210813,43.60114448,7,Gus Ryder Pool & Health Club,Recreation or Sports Facility,,,Reception,1
1 York Rd,M9R 3C8,300690.35,4839547.959,-79.55079242,43.69787524,9,Kingsview Village CS,Recreation or Sports Facility,,,Outside CS office,1
2 Hobson Ave,M4A 1Y2,320293.29,4841888.805,-79.30752281,43.71878867,10,Corporate Printing,Industrial Facility,,,Cafe Area,1
2 Gower St,M4B 1E2,320990.17,4840044.27,-79.29893272,43.7021797,11,Harmony Hall Centre for Senior,Recreation or Sports Facility,,,Lower level of centre,1
2 Civic Centre Crt,M9C 5A3,299626.909,4833447.54,-79.56392705,43.64295853,15,2 Civic Centre Court,Office,,,By Elevators,1
2 St Andrews Blvd,M9R 1V8,300749.676,4839970.024,-79.55005945,43.70167459,16,Don Bosco Catholic H.S.,School,,,outside main office,1
3 Tippett Rd,M3H 2V1,309130.861,4843369.274,-79.44604735,43.73227227,18,3 Tippett Centre-TDSB,School,,,Outside Main Office,1
4 Keywest Ave,M6E 2A8,309102.874,4839041.77,-79.44642845,43.69331939,19,Fairbank ODP,Outdoor Seasonal Facility,,,Pool Office,1
4 Hollis St,M6M 4M9,305604.907,4838413.76,-79.4898224,43.68767813,20,Mount Dennis Community Hall,Recreation or Sports Facility,,,Reception,1
5 Trestleside Grv,M1R 5A9,320370.305,4845703.5,-79.30645996,43.75313324,21,Maryvale ODP,Outdoor Seasonal Facility,,,Pool Office,1
5 Leaside Park Dr,,316887.124,4840051.865,-79.34983985,43.7023259,22,Leaside ODP,Outdoor Seasonal Facility,,,Pool Office,1
6 Williamson Rd,M4E 1K5,321007.596,4836906.93,-79.29881027,43.67393961,25,Beaches RC,Recreation or Sports Facility,,,Reception,1
7 Hawksdale Rd,M3K 1W3,306423.059,4843160.544,-79.47966088,43.73040434,27,Downsview SS,School,,,Outside main  office,1
7 McCulloch Ave,M9W 4M5,299129.668,4839659.363,-79.57015641,43.69886884,28,7 McCulloch-TDSB,School,,,N/A,1
9 Neilson Rd,M1E 5E1,328643.97,4848895.621,-79.2035789,43.78164671,29,Seven Oaks,Residence (excluding private homes),,,Reception,1
9 Leslie St,M4M 3M9,318823.365,4834959.521,-79.32594855,43.65645491,31,Ashbridges Bay Treatment Plant,Industrial Facility,,,Blower Bldg,7
9 Leslie St,M4M 3M9,318823.365,4834959.521,-79.32594855,43.65645491,32,Ashbridges Bay Treatment Plant,Industrial Facility,,,Admin Bldg - 2nd Flr,7
9 Leslie St,M4M 3M9,318823.365,4834959.521,-79.32594855,43.65645491,33,Ashbridges Bay Treatment Plant,Industrial Facility,,,Admin Bldg - Main Flr,7
200 Fundy Bay Blvd,M1W 3G1,319311.544,4852260.07,-79.31943164,43.81217076,343,Dr Norman Bethune CI,School,,,Central Commons Area,1
200 Graydon Hall Dr,M3A 3A6,317673.127,4846945.98,-79.33992326,43.76436857,344,George S Henry Academy,School,,,Outside Main Office,1
200 Bermondsey Rd,M4A 1Y1,319694.733,4842494.56,-79.31493442,43.72425342,346,TFS - Special Operations Centre,Emergency Services,,,Training Dome (classroom),2
200 Bermondsey Rd,M4A 1Y1,319694.733,4842494.56,-79.31493442,43.72425342,345,TFS - Special Operations Centre,Emergency Services,,,Office Area,2
209 Mavety St,M6P 2M1,307593.506,4835850.769,-79.46516521,43.66459462,362,TPS - 11 Division,Law enforcement agency,,,Beside Elevator,1
235 Danforth Ave,M4K 1N2,316443.115,4837194.863,-79.35541069,43.67661645,373,Public Health- Danforth Ave.,Medical Facility,,,Reception,1
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,258,Exhibition Place Grounds,Convention Facility,,,Security Desk (Allstream),14
110 Rumsey Rd,M4G 1P2,315489.266,4840428.18,-79.36717617,43.70573427,270,Trace Manes Park CRC,Recreation or Sports Facility,,,Main Lobby,1
125 Evelyn Cres,M6P 3E3,306834.358,4835016.974,-79.47458478,43.65710007,281,Western Technical Commercial S,School,,,N/A,1
135 Overlea Blvd,M3C 1B3,318084.03,4840793.882,-79.33497117,43.70898428,290,Marc Garneau CI,School,,,N/A,1
142 Colborne Lodge Dr,,307618.414,4833490.151,-79.46486989,43.64334597,297,High Park - Childrens Kitchen,recreation or Sports Facility,,,Back Door,1
21 Redway Rd,M4H 1P6,316350.741,4839794.106,-79.35650052,43.70001419,83,North Toronto Treatment Plant,Industrial Facility,,,Lunchroom,1
25 Old Eglinton Ave,M4A 0A2,319444.735,4842384.725,-79.31804032,43.72326969,93,Rexdale Employment  & Social Services,Industrial Facility,,,Lunch room- East Wall,1
1 Danforth Ave,M4K 1M8,316068.495,4837005.695,-79.3600608,43.67491945,2,City Adult Learning Centre,School,,,Main Office,1
2 Adelaide St W,M5H 1L6,314566.687,4834292.431,-79.3787338,43.65051784,12,Wellspring Cancer Support Foundation,Medical Facility,,,east wall large activity room,1
5 Ludstone Dr,M9R 2H8,299408.201,4838615.712,-79.56669051,43.68947688,24,Transfiguration of Our Lord Ca,School,,,RHS Office Window,1
9 Leslie St,M4M 3M9,318823.365,4834959.521,-79.32594855,43.65645491,35,Ashbridges Bay Treatment Plant,Industrial Facility,,,Security Office,7
1026 Finch Ave W,M3J 2E1,307147.949,4847499.788,-79.47064492,43.76946106,589,Finch Yard - Bldg D (Alness T.,Industrial Facility,,,1st Flr - Lunchroom,1
435 Kipling Ave,M8Z 5E7,303159.369,4829580.323,-79.52013062,43.60816384,463,Kipling Yard - District Operat,Industrial Facility,,,2nd Flr Reception Lobby,1
550 Sheppard Ave E,M2K 3C8,313839.539,4847244.116,-79.38753163,43.7671088,490,TTC - Bayview Station,Transportation Facility,,,Bayview,1
25 Stanley Rd,M3N 1C2,303508.453,4844498.149,-79.51584394,43.74244518,92,Domenico DiLuca Community Centre,Recreation or Sports Facility,,,Reception,1
2 Trethewey Dr,M6M 4A8,306747.222,4838767.351,-79.47565207,43.69085918,13,Continuing Education-TDSB,School,,,N/A,1
7 Edithvale Dr,M2N 2R4,310718.604,4848300.577,-79.42628419,43.77664934,26,Edithvale CC,Recreation or Sports Facility,,,Maintenance Office,1
65 Front St W,M5J 1E6,314437.265,4833737.913,-79.38034838,43.64552824,188,Union Station,Transportation Facility,402,RM,Great Hall,3
70 Roehampton Ave,M4P 1R2,313108.868,4840753.954,-79.39670692,43.70869646,196,North Toronto C I,School,,,NA,1
200 Dawes Rd,M4C 5M8,321045.096,4839340.654,-79.2982723,43.69584522,347,True Davidson Acres,Medical Facility,,,Main Entrance,1
200 Hanna Rd,M4G 3N8,315043.361,4841027.245,-79.37269734,43.71113268,348,Leaside HS,School,,,Outside Main Office,1
200 Lonsdale Rd,M4V 1W6,312568.056,4838831.251,-79.40344553,43.69139624,350,Upper Canada College,School,,,Upper School Lett Gym,1
200 Trethewey Dr,M6M 5E6,305842.382,4839180.461,-79.48687581,43.69457914,351,TPS - 12 Division,Law enforcement agency,,,Front Doors,2
200 Trethewey Dr,M6M 5E6,305842.382,4839180.461,-79.48687581,43.69457914,352,TPS - 12 Division,Law enforcement agency,,,Cells - Youth Bureau,2
201 Winchester St,M4X 1B8,315989.682,4836162.379,-79.36105236,43.66732112,356,Riverdale Farm,Recreation or Sports Facility,,,Simpson House,1
205 Cummer Ave,M2M 2E8,312228.203,4849591.837,-79.40751334,43.78825844,358,Cummer Lodge,Medical Facility,,,By Elevators,1
205 Wilmington Ave,M3H 6B3,308347.336,4846600.234,-79.4557531,43.76135937,359,Irving W Chapley CC,Recreation or Sports Facility,,,North Changeroom Wall,1
205 Humber College Blvd,M9W 5L7,296177.016,4843029.41,-79.60683987,43.72916655,360,Humber Community Pool,Recreation or Sports Facility,,,"N wall, main lobby",1
209 Jameson Ave,M6K 2Y3,309942.31,4833081.726,-79.43607175,43.63966609,361,Parkdale CI,School,,,Outside Main Office,1
211 Steeles Ave E,M2M 3Y6,312586.416,4851066.111,-79.40304141,43.80152478,363,Brebeuf Catholic High School,School,,,Main Ent. Doors by staircase,1
211 Cameron Ave,M2N 1E8,311125.817,4845825.697,-79.42125481,43.7543693,364,Cameron P.S,School,,,Outside main  office,1
213 Main St,,320843.925,4838291.311,-79.30079883,43.68640408,365,Go Transit - Danforth Station,Transportation Facility,,,Main Common Area,1
220 Cowan Ave,M6K 2N6,310171.205,4833199.5,-79.43323367,43.64072471,366,Masaryk-Cowan CRC,Recreation or Sports Facility,,,Reception,1
220 Attwell Dr,M9W 5B2,297674.638,4838790.775,-79.58819694,43.69103817,367,Attwell Employment & Social Services,Office,,,Reception,1
223 Eglinton Ave E,M4P 1L1,313580.997,4840667.437,-79.39085007,43.70791234,368,Eglinton PS,School,,,Outside main  office,1
230 Gosford Blvd,M3N 2H1,302836.938,4847527.192,-79.52419208,43.7697088,370,John Booth Memorial Arena,Recreation or Sports Facility,,,lobby,1
230 The Esplanade,M5A 4J6,315676.054,4834215.082,-79.36498334,43.64980612,371,St. Lawrence CRC,Recreation or Sports Facility,,,Reception,1
230 Humbercrest Blvd,M6S 4L3,305155.232,4835859.008,-79.49540115,43.66468227,372,St. James Separate School,School,,,Outside Main Office,1
235 Cottingham St,M4V 1C7,312671.878,4837383.384,-79.40217814,43.67836307,374,High Level Pumping Station,Industrial Facility,,,Lower Office Area,1
239 College St,M5T 1R5,312980.403,4835113.329,-79.39838562,43.6579264,375,TPL - Lillian H. Smith,Library,,,Circulation Desk,1
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,255,Exhibition Place Grounds,Convention Facility,,,Mobile Security,14
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,257,Exhibition Place Grounds,Convention Facility,,,Queen Eliz. Exhibit Hall,14
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,259,Exhibition Place Grounds,Convention Facility,,,General Services Building,14
100 Emmett Ave,M6M 2E6,304362.766,4838450.88,-79.50523027,43.688012,261,York Humber HS,School,,,NA,1
100 Pine St,M9N 2Y9,304024.852,4840207.646,-79.50942503,43.7038249,262,Weston CI,School,,,Outside Office,1
100 Golfwood Hts,,301072.792,4840076.549,-79.54605135,43.70263519,263,Fairhaven ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
101 Copperfield Rd,,332414.991,4846687.228,-79.15684234,43.76163907,264,East Point Park,Outdoor Seasonal Facility,,,By Concession Stand,1
101 Van Horne Ave,M2J 2S8,316096.384,4849223.994,-79.35945887,43.78489883,265,St. Matthias Catholic School,School,,,Outside Main Office,1
101 Coxwell Ave,M4L 3B3,319517.89,4836374.719,-79.31729935,43.66918002,266,TPS - 55 Division,Law enforcement agency,,,Booking Hall,2
